"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000442011",6975.86258829733,0.604961180271311,0.0337872022965544,17.9050391613219,1.07719354374356e-71,2.65926770143973e-67
"ENST00000220809",2037.02177546198,0.979689259329395,0.0641917181440594,15.2619261121937,1.37139689049565e-52,1.69278375178331e-48
"ENST00000412585",5613.92515470734,0.363816407537606,0.0328326668752633,11.0809276906991,1.55255495932782e-28,1.27759747603086e-24
"ENST00000371646",4893.09703657881,-0.365800923330685,0.0356426107686219,-10.2630226978973,1.03417857673568e-24,5.10615330477475e-21
"ENST00000262768",1160.50266877425,0.784077705531269,0.0762527457730635,10.2826160236219,8.44049629160466e-25,5.10615330477475e-21
"ENST00000331817",3145.5701057276,0.418538579882778,0.0435747835437416,9.60506388890349,7.61107147701984e-22,3.13157535921981e-18
"ENST00000277480",1173.68448079381,0.652343487435436,0.070413553137755,9.26445916113919,1.96068453272401e-20,6.91477415133682e-17
"ENST00000329841",1017.99372240268,0.85844024359295,0.0940293352367743,9.12949391199375,6.88202533175222e-20,2.12370699206209e-16
"ENST00000236671",1698.87108755524,0.537752098304989,0.0597327529505493,9.002633760245,2.20366468330207e-19,6.04465222629757e-16
"ENST00000367602",1675.75477844629,0.545886133852393,0.060798959012115,8.97854408565808,2.74373190245129e-19,6.77345094758149e-16
"ENST00000393198",892.64067432812,-0.854194954302152,0.0952773489778167,-8.9653518225096,3.09291879706214e-19,6.94135330391573e-16
"ENST00000216181",8493.69238299845,0.293455841381177,0.0333878140513241,8.78930980417209,1.50481570993059e-18,3.09578211925471e-15
"ENST00000319331",460.887816642712,1.02289204808117,0.119085033472541,8.58959365634326,8.72774379038679e-18,1.65739854579445e-14
"ENST00000309268",5611.78506942817,-0.384457998942916,0.045382495211093,-8.47150420343,2.4224424174101e-17,4.27163113990023e-14
"ENST00000451311",3880.45036286394,0.317220953459115,0.0377647370788054,8.39992485045388,4.46764460490405e-17,7.35284949075109e-14
"ENST00000341037",687.137646032035,0.871117107310924,0.104278757530486,8.35373500740311,6.61376315934036e-17,1.02046231946647e-13
"ENST00000334047",653.830530295532,0.829935384215452,0.099563445685473,8.33574389176192,7.7012454902703e-17,1.11835674951943e-13
"ENST00000320031",4200.55285968119,0.443163397899918,0.0556377723390172,7.9651535147668,1.65018785221788e-15,2.26323263931683e-12
"ENST00000361381",7172.040950141,-0.244348354328901,0.0316046925815409,-7.73139475090529,1.06374603853621e-14,1.38214202386017e-11
"ENST00000350669",2156.65129602683,-0.398437575473784,0.0527249287132163,-7.556910653042,4.12755282059538e-14,5.09484482410191e-11
"ENST00000283249",497.162607556346,0.856355637460781,0.114806075712343,7.45914910989952,8.70830131149434e-14,1.02372302131839e-10
"ENST00000260356",356.662548996371,0.960824913674813,0.131659319664596,7.2978116256603,2.92485733002196e-13,3.28208876846601e-10
"ENST00000302278",2320.41733826294,0.369502354699127,0.0510915784979903,7.23215773639997,4.7537957901571e-13,5.10247637702645e-10
"ENST00000296591",358.101957177705,1.28189675109783,0.178170855562417,7.19476115805459,6.2570196127836e-13,6.43612679919954e-10
"ENST00000322732",1456.59690341682,-0.507269054309096,0.0706409546950864,-7.18094845261739,6.92294530465395e-13,6.83627002943968e-10
"ENST00000371225",1153.28988449683,0.521095832221365,0.0739814655068055,7.04359975369006,1.8733577156255e-12,1.77875315098642e-09
"ENST00000369317",1175.07534575067,0.494080951728184,0.0712400884551771,6.93543428204823,4.04975127133607e-12,3.70282257909162e-09
"ENST00000261622",613.984773494887,-0.725150571625911,0.105543688397531,-6.87061995497664,6.39234851312068e-12,5.6359967051218e-09
"ENST00000253788",1660.60722329533,-0.404531470883303,0.0593030234454487,-6.8214308036996,9.0138184720889e-12,7.67324609036064e-09
"ENST00000388968",1630.67499813228,-0.466326688273076,0.0693211021581703,-6.72705242350383,1.73134377724029e-11,1.42472279429104e-08
"ENST00000397449",97.3495427903702,-5.31838182752473,0.791736741871949,-6.71736139837362,1.85044633059264e-11,1.47361188914002e-08
"ENST00000534624",326.033059772836,-1.42802703419048,0.213285269812238,-6.69538517801824,2.15104289544665e-11,1.64734628324798e-08
"ENST00000264144",4382.94162902021,0.241721790155659,0.0361212447950905,6.69195625806654,2.20206697238155e-11,1.64734628324798e-08
"ENST00000225719",1696.028102018,0.405558340526249,0.0608710680095231,6.6625796751718,2.69062363880006e-11,1.95363016973697e-08
"ENST00000225430",2211.48587075705,-0.44022423606773,0.0664748704127049,-6.62241585932588,3.53375215396468e-11,2.49250684071217e-08
"ENST00000343262",3088.79785221913,-0.361974427610367,0.0554519545622866,-6.52771269232319,6.67816385664512e-11,4.57955086469439e-08
"ENST00000324366",75.5119725350476,-3.0041163656982,0.46153418645121,-6.50897908299534,7.5663256408023e-11,5.04837516471585e-08
"ENST00000433736",158.215428863128,1.397098711072,0.216458708019869,6.4543428344946,1.08689507978887e-10,7.06109969335472e-08
"ENST00000330387",426.636174631097,0.775751422818683,0.121167568604461,6.40230246222932,1.53051082344351e-10,9.68813351239744e-08
"ENST00000331789",11409.5938581033,0.170520910798064,0.0266742806776464,6.392708874094,1.62972374631122e-10,1.00582475312963e-07
"ENST00000376228",4023.66514434039,0.267653707096331,0.0423668016597221,6.31753393248913,2.65770097935672e-10,1.60026009944828e-07
"ENST00000419477",79.7851451224688,2.38898924756405,0.37974208390357,6.29108373506133,3.15257210997276e-10,1.85303684949756e-07
"ENST00000216281",3203.6028703736,-0.281954782730198,0.0449078087824671,-6.2785246124117,3.41800927253322e-10,1.96233476537273e-07
"ENST00000360409",444.85741353116,0.805111057753558,0.128916904674652,6.24519383075029,4.23274882350693e-10,2.37486068649808e-07
"ENST00000249364",1084.69503110903,0.450733161292716,0.0726761997002401,6.20193630310622,5.5772652399844e-10,3.05968771065544e-07
"ENST00000300527",1233.07707004207,0.419815503634882,0.0677667077688121,6.19501105272952,5.82809402961084e-10,3.12778602845658e-07
